"botanical_id","species","author","synonyms","english_name","description","flowering_period","habit","distribution","uses"
"579","594","Thunb.","Ficus citrifolia Willd., Ficus mysorensis Heyne ex","Brown-woolly Fig, Wild Banyan Tree","A large banyan tree, up to 35 m tall, hemi-epiphytic, bark greyish-white, branches drying brown. Twigs angular, glabrous or villous. Leaves spirally arranged, or subdistichous, stipulate, stipules 1-2 cm long, yellowish-brown, lanceolate, membranous, caducous, petiolate, petioles 2-4 cm long, glabrous or tomentose to subvillous, drying blackish, occasionally with a waxy layer, leaf blade elliptic to oblong or obovate-elliptic, 10-18 Ã— 5-9 cm, coriaceous, densely covered with yellowish-brown woolly pubescence, glabrescent, shortly acuminate at the apex, rounded or cordate at the base, margin entire or slightly undulate, lateral veins 8-12 pairs, the basal pair distinct, branched or unbranched, 1-2 pairs of smaller lateral veins below the main pair, tertiary venation subscalariform, prominent beneath, waxy glands present at the base of the midrib. Figs axillary on leafy branchlets, in pairs or solitary, sessile, reddish-orange to red, densely covered with brownish-yellow long hairs, basal bracts 2-3, unequal, semi-circular to band-shaped, puberulous, persistent, receptacle up to 4 Ã— 1-2 cm when dry, ellipsoid, yellow to orange at maturity. Male, gall and female flowers within the same fig. Male flowers long pedicellate, calyx lobes 3, broadly ovate, stamen 1, filaments short and thick, anthers narrowly ellipsoid. Gall flowers pedicellate, sepals connate, apically 3- or 4-lobed, ovary globose. Female flowers with 3 calyx lobes, white, broadly lanceolate, ovary partly red. Fruit an achene, globose, tuberculate.","March-June","Forests and hilly regions.","Chittagong","It is used as a timber plant."
"580","595","Roxb. ex Hornem.","Urostigma elasticum (Roxb.) Miq.","Indian Rubber Tree","A medium to large evergreen tree with milky latex. Trunk and young shoots glabrous, crown very dense, branches spreading, with or without narrow aerial hanging roots. Leaves simple, alternate, petiolate, petioles 3-6 cm long, lamina oblong, 22-25 Ã— 14-16 cm, thick, glossy above, base cuneate to obtuse, margin entire, apex shortly acuminate, lateral nerves almost parallel, stipules large, up to 25 cm long, rosy or pinkish-brown when young. Hypanthodia axillary, sessile, usually in pairs, ovoid-oblong, greenish, subtended by 3 bracts, bracts caducous, apical orifice closed by 3-4 bracts. Male flowers: small, pedicellate, sepals 3-4, ovate, stamen 1, anthers 2. Female flowers: sessile, sepals 4, free, ovary with subterminal long styles. Figs ovoid-oblong, up to 16 mm long, yellow.","March-April","Cultivated in gardens.","Throughout the country.","Much grown as indoor plants in its juvenile state."
"581","596","Thunb.","Ficus tenax Blume, Ficus koshunensis Hayata, Ficus","Japanese Fig","A shrub or treelet, up to 6 m tall, bark greyish-brown, branchlets glabrous or densely brown tomentose. Twigs glabrous or sparsely white appressed-puberulous. Leaves spirally arranged, stipulate, stipules 0.6-1.5 cm long, reddish-brown, broadly ovate or triangular-lanceolate, membranous, glabrous, caducuos, petiolate, petioles 1-3 cm long, slender, glabrous or pubescent, leaf blade elliptic, oblong or obovate,  5.0-17.5 Ã— 2.0-8.5 cm, chartaceous, acuminate at the apex, obtuse to cordate at the base, margin entire or occasionally undulate towards the apex, upper surface sparsely strigillose or glabrous, scabridulous or smooth, lower surface sparsely white appressed-puberulous on the main veins, lateral veins 4-9 pairs, the basal pair hardly different from the other lateral veins, tertiary venation scalariform to reticulate. Figs axillary on normal leafy shoots, solitary, reddish-yellow to blackish-purple or red at maturity, peduncles 0.5-2.5 cm long, basal bracts 3, c 2 mm long, white appressed-puberulous at the base, involucral bracts ovate-triangular, glabrous or thinly pubescent, receptacle pyriform or subglobose, up to 2 cm in diameter when dry, sparsely white appressed-puberulous. Male flowers many, scattered, subsessile to pedicellate, calyx lobes usually 3, elliptic to ovate-lanceolate, stamens 2 or 3. Gall flowers subsessile to pedicellate, calyx lobes 3-5, lanceolate, longer than ovary, pubescent, ovary ellipsoid-globose, styles lateral, short, stigmas bifid. Female flowers with 4-6 calyx lobes, broadly spathulate, ovary smooth, shortly stipitate, styles lateral, stigmas bifid. Fruit an achene.","April-July","Evergreen forests.","Habiganj","The bark fibers are used for making paper."
"582","597","Reinw. ex Blume","Covellia tuberculata Miq., Ficus harlandii Benth.,","Common Yellow Stem Fig","A small evergreen tree, up to 12 m tall, bark dark brown. Twigs glabrous or appressed-puberulous. Leaves spirally arranged, subopposite or distichous, stipulate, stipules 0.5-2.0 cm long, ovate-lanceolate, glabrous or puberulous, caducous, petiolate, petioles 1-3 cm long, hispid or hirsute, leaf blade obovate to oblong or oblanceolate, 8-20 Ã— 4-8 cm, subcoriaceous, acuminate to caudate at the apex, cuneate to rounded at the base, margin entire or irregularly dentate, occasionally lobate, abaxially sparsely pubescent, adaxially glabrous, lateral veins 6-10 pairs, the basal pair weakly developed, tertiary venation scalariform to subreticulate, waxy glands lacking or inconspicuous. Figs axillary, solitary or sometimes clustered together on short spurs in the axils or below the leaves on short spurs developing into cauliflorous on branchlets, reddish-orange when mature, subglabrous, smooth, peduncles 0.6-4.0 cm long, basal bracts 3, 0.5-1.0 mm long, receptacles subglobose to obovoid or subpyriform, 0.5-1.5 cm in diameter when dry, glabrous, sometimes obscurely to distinctly ribbed, yellowish at maturity, lateral bracts lacking. Male flowers few, shortly pedicellate, calyx lobes 3-4, stamen 1, filaments short. Gall flowers pedicellate, calyx lobes very short, ovary obovate, smooth, styles lateral, thin, stigmas enlarged. Female flowers with tubular perianth, styles persistent, long, clavate. Fruit an achene, with small tubercles.","May-August","Forests, sides of streams, and rocks.","Chittagong and Sylhet.","A decoction of root is given to women after childb"
"583","598","Reinw. ex Blume","Ficus chrysocarpa Reinw. ex Blume, Ficus reinwardi","","A moderate-sized tree, up to 20 m tall, branches dark brown. Twigs yellowish to brownish hirtellous to puberulous, often pairs of small waxy glands present at the base of petioles. Leaves spirally arranged, stipulate, stipules 1-3 cm long, lanceolate, whitish to yellowish, sericeous to subhirtellous, caducous, petiolate, petioles 2-15 cm long but at juvenile stage up to 25 cm long, puberulous to hirtellous, leaf blade elliptic, obovate, oblong or suborbicular or 3-7 lobed when juvenile, 6-32 Ã— 3-18 cm, chartaceous to subcoriaceous, shortly acuminate at the apex, cordate to cuneate at the base, margin dentate to subentire, upper surface strigillose, hirtellous on the main veins, scabrous to smooth, lower surface hirtellous to subtomentose on the veins, lateral veins 4-7 pairs, the basal pair branched, tertiary venation scalariform, waxy glands in the axis of the lateral veins. Figs axillary, in pairs, densely golden-yellow tomentose, sessile or shortly pedunculate, peduncles c 0.5 cm long, basal bracts 3, 2.0-3.5 mm long, involucral bracts broadly ovate, densely covered with golden-yellow thick hairs, receptacles subglobose to ovoid or ellipsoid, c 1.5 cm in diameter when dry, yellowish appressed-puberulous to hirtellous, yellow to orange at maturity. Male flowers with 4 calyx lobes, broadly ovate, glabrous, stamens 2. Gall flowers with 4 calyx lobes, narrowly oblong or lanceolate, ovary ovoid, smooth, styles lateral, short. Female flowers with sepals similar to those of male flowers, styles persistent, lateral, stigmas cylindric. Fruit an achene, ellipsoid to rhomboid, wrinkled, tuberculate.
","May-October.","Forests and areas of secondary growth.","Habiganj","The bark is used for string. The latex contains wa"
"584","599","Miq.","Ficus congesta (Lev. et Van.) Lev., Ficus silheten","","A shrub or small tree, young parts pubescent, bark ashy-grey, smooth, branchlets slender, internodes short, coarsely hairy, glabrescent, blaze greenish-white. Leaves simple, stipulate, stipules c 1 cm long, lanceolate, glabrous, petiolate, petioles c 1 cm long, pubescent, leaf blade obovate, oblanceolate, elliptic-lanceolate or elliptic, varying greatly in shape, 5-12 Ã— 2-4 cm, chartaceous to coriaceous, apex acute to acuminate, base cuneate to obtuse, margin entire, green when dry, abaxially densely covered with coarse hairs and pubescence, secondary veins 4-8 pairs, slender, tertiary venation reticulate. Figs axillary on normal leafy shoots, paired or solitary, purple-red with white spots at maturity, pubescent when young, peduncles less than 1 cm long, basal bracts 2, red, involucral bracts broadly ovate. Male flowers: pedicellate, calyx lobes 3, hairy, stamens 2, anthers elongate. Gall flowers with 3 calyx lobes, oblanceolate, hairy, ovary obliquely ovoid, smooth, styles short, lateral, slightly 2-lobed. Female flowers: almost sessile, calyx lobes 3-4, hirsute, styles long, persistent, lateral, curved. Fruit an achene, ovoid, smooth, papillose, purplish.","May-September","Mountains, hills, along trails and valleys.","Sylhet",""
"585","600","Kurz","Ficus tenii Lev.","Dotted Fig","A large evergreen tree, bark brownish-grey, reticulately fissured, branchlets pale yellow when dry, slightly curved. Twigs lenticellate. Leaves alternate, clustered apically on branchlets, stipulate, stipules c 1 cm long, broadly ovate, pubescent, petiolate, petioles 2-7 cm long, glabrous, leaf blade elliptic to broadly ovate, 4-11 Ã— 3-8 cm, coriaceous, apex mucronate, base 3-5 nerved, cuneate to rounded, obtuse or narrowed into petiole, margin slightly recurved, adaxially glabrous and shiny when dry, secondary veins 6-12 pairs, prominent beneath. Figs axillary on short woody branchlets or on leafless older branchlets, in clusters of 2-4, red at maturity, with conspicuous bristles, tuberculate, sessile or subsessile, basal bracts 3, pubescent, involucral bracts broadly ovate. Male, gall and female flowers within the same fig. Male flowers: few, calyx lobes 3, connate, stamen 1, occasionally 2, filaments short, anthers broadly ovoid. Gall and female flowers with 3 or 4 calyx lobes, lanceolate, styles elongate, longer in female flowers than in gall flowers, stigmas deeply lobed. Fruit an achene, obovoid.","April-July","Hilly areas and forests.","Chittagong and Sylhet.","Wood is used for firewood."
"586","601","Blume","Ficus angustifolia Roxb., Ficus bistipulata Griff.","","A medium to large-sized tree, up to 30 m tall, hemi-epiphytic or terrestrial, bark grey, branchlets pubescent when young. Twigs angular, glabrous or sparsely whitish puberulous. Leaves spirally arranged, stipulate, stipules 1.0-1.5 cm long, lanceolate, petiolate, petioles 1-3 cm long, leaf blade narrowly elliptic to oblong, 6-20 Ã— 3-7 cm, coriaceous, acuminate to subacute at the apex, broadly cuneate to rounded at the base, margin entire, glabrous, secondary veins 6-10 pairs, the basal pair distinct, unbranched, tertiary vein reticulate, waxy glands at the base of the midrib. Figs axillary on leafy branchlets, paired, orange-yellow at maturity, peduncles 0.5-1.4 cm long, sparsely pubescent or glabrous, basal bracts early caducous, receptacles subglobose to globose, c 0.6 cm in diameter when dry, glabrous, yellow-orange to purple-black at maturity. Male, gall and female flowers within the same fig. Male flowers: few, near apical pore or scattered, calyx lobes 4, ovate-lanceolate, stamen 1. Gall flowers: sessile or shortly pedicellate, calyx deeply 4-lobed, ovary globose, stigmas apical, short. Female flowers: sepals 4, ovary ovoid, stigmas apical, long. Fruit an achene, ovoid.","May-September","Forests, limestone mountains and plain lands.","Chittagong","The leaves and young shoots afford excellent fodde"
"587","602","Blume","Ficus radicans Roxb., Ficus urophylla Wall. ex Miq","","A scandent shrub or small tree, up to 12 m tall, hemi-epiphytic, branchlets drying brown. Twigs hispidulous or densely puberulous, smooth or scabrous. Leaves distichous, stipulate, stipules 0.3-1.0 cm long, amplexicaul or semi-amplexicaul, glabrous or puberulous, petiolate, petioles 0.5-1.5 cm long, sparsely brownish hispidulous or densely brownish puberulous, leaf blade elliptic to oblong to obovate, 6-22 Ã— 3-8 cm, coriaceous, caudate to acuminate at the apex, base slightly asymmetric, attenuated and decurrent on petiole, margin entire or undulate, upper surface glabrous, often shiny, smooth, lower surface minutely hispidulous to subglabrous, scabridulous to smooth, lateral veins 3-8 pairs, the basal pair up to half the length of the leaf blade, tertiary venation reticulate to scalariform, waxy glands present in the axils of one of the basal lateral veins. Figs axillary on normal leafy shoots, paired or solitary, with short thick hairs, peduncles 0.5-1.5 cm long, peduncular bracts 2 or 3, mainly near the base, receptacles globose, 0.4-1.4 cm in diameter when dry, hispidulous, scabrous, mostly without lateral bracts. Male flowers: near the apical pore, subsessile, calyx lobes 4, linear, stamen 1, rudimentary ovary present. Gall flowers: shortly pedicellate, calyx lobes 3, ovary globose, styles lateral, short, curved. Female flowers: calyx lobes  3, styles persistent, glabrous, stigmas funnel-form. Fruit an achene, obliquely ovoid.","January-August","Hill forests.","Chittagong","Wood is used as fuel. Leaves are used as fodder."
"588","603","Vahl","Ficus hirsuta Roxb., Ficus tridactylites Gagnep., ","","A shrub or small tree, up to 15 m tall. Twigs whitish to dark brown puberulous to hirtellous and pale brown to yellowish hirtellous to subhirsute or dark brown hirsute. Leaves spirally arranged, stipulate, stipules 0.8-3.0 cm long, ciliolate, red, ovate-lanceolate, membranous, pubescent, caducous, petiolate, petioles 1-8 cm long, whitish puberulous to pale to dark brown hirtellous to hirsute or partly brown and partly white sericeous, leaf blade elliptic to oblong to obovate or ovate to cordiform to suborbicular, when young palmately 3-7 lobed, or pinnately lobed, 8-30 Ã— 4-22 cm, chartaceous to subcoriaceous, acute to acuminate at the apex, cuneate, rounded or shallowly cordate at the base, margin entire or shortly serrate, upper surface strigillose to hirtellous to hirsute, lower surface densely to sparsely whitish puberulous, lateral veins 4-7 pairs, the basal pair mostly branched, tertiary venation scalariform, prominent beneath, waxy glands in the axils of the basal lateral veins. Figs axillary on normal leafy shoots, in pairs, sessile or shortly pedunculate, with long stiff spreading golden-yellow or brown hairs, sometimes subglabrous, basal bracts 3, ovate-lanceolate, 2-6 mm long, persistent or caducous, receptacles globose, ovoid or ellipsoid, 0.8-2.4 cm in diameter when dry, sometimes with lateral bracts, red at maturity. Male flowers: shortly pedicellate, calyx lobes 4, red, lanceolate, stamens 2-3, anthers ellipsoid, longer than filaments. Gall flowers with 4 calyx lobes, ovary globose or ovoid-globose, smooth, styles lateral, short, stigmas funnel-form. Female flowers: sessile or shortly pedicellate, calyx lobes 4, styles persistent, long, attached to one side, slightly concave, stigmas clavate. Fruit an achene, ellipsoid-globose, smooth.","November-May","Evergreen hill forests","Sylhet, Chittagong, Cox's Bazar and the Chittagong","Leaves are used as fodder."
"589","604","L.f.","Ficus oppositifolia Roxb., Ficus daemonum Koenig","Opposite-leaved Fig, Rough-leaved Stem Fig","Small tree or large shrub, up to 15 m tall, all parts of the plant hispid. Leaves simple, opposite, decussate, petiolate, lamina ovate-oblong to ovate-elliptic, 8-30 Ã— 2.5-20.0 cm, base cuneate to truncate-cordate, margin crenate-serrate to entire, apex acute to acuminate, distinctly scabrid on both surfaces. Hypanthodium in the leaf axils or leafless hanging branchlets from the trunk, usually obovoid, 10-15 mm in diameter, hispid, apical orifice is closed by 5-6 bracts. Male flowers: many, in 1-2 whorls, ostiolar, sepals 3, stamen solitary with short filament. Female flowers: many, short pedicelled or sessile, sepals connate into a tube, round the ovary, ovary globose, styles subterminal. Figs depressed-globose to pyriform, greenish-yellow, hispid.","April-September","Hedges, thickets and village surrounding and dilap","Throughout the country.","Fruits are astringent, tonic and lactagogue. Barks"
"590","605","Miq.","Ficus pyriformis Hook. & Arn. var. ischnopoda (Miq","","A shrub or small tree, up to 6 m tall, bark grey with wing-like ridges. Twigs glabrous or white puberulous. Leaves spirally arranged, sometimes subopposite or sub-verticillate, stipulate, stipules c 0.5-1.1 cm long, linear-lanceolate, glabrous, caducous, petiolate, petioles 0.4-1.5 cm long, puberulous or glabrous, leaf blade linear-lanceolate to oblanceolate, 4-20 Ã— 1-3 cm, coriaceous, abaxially pale brown when dry, adaxially dark green, subacute to acuminate at the apex, cuneate to rounded at the base, margin entire, revolute, glabrous, lateral veins 7-20 pairs, the basal pair not distinct from other lateral veins, tertiary venation reticulate, waxy glands in the axils of the basal lateral veins. Figs axillary on leafy or older leafless branches, solitary or occasionally paired, basally attenuate into a short stalk, peduncles 1-3 cm long, basal bracts 3, 1-2 mm long, sparsely puberulous, semi-persistent, receptacles ellipsoid, ovoid or subpyriform, 1.5-2.5 cm in diameter when dry, pink to dark red at maturity. Male flowers: near apical pore, pedicellate, calyx lobes 3 or 4, oblanceolate, stamens 2, anthers ellipsoid. Gall flowers: subsessile, calyx lobes 4, ovary globose, styles lateral, short, stigmas shallowly 2-lobed. Female flowers: pedicellate, calyx lobes 3 or 4, styles persistent, long, stigmas 2-lobed. Fruit an achene, reniform, tuberculate.","May-August","River banks, forests and scrubs.","Chittagong and Sylhet.","Wood is used as firewood."
"591","606","Miq.","Ficus lepidosa Wall. ex Kurz, Ficus lepidosa Wall.","","A deciduous tree, up to 30 m tall with watery milky sap, bark brownish-grey, faintly reticulately fissured, branches dark brown to purplish. Twigs white to brown appressed-puberulous or glabrous. Leaves spirally arranged, stipulate, stipules 0.5-1.1 cm long, caducous, petiolate, petioles 2-7 cm long, appressed-puberulous to strigollose or glabrous, leaf blade oblong to elliptic, 7.5-24.0 Ã— 3.5-12.0 cm, chartaceous, acuminate at the apex, truncate to cuneate at the base, margin entire, upper surface appressed-puberulous on the veins or on the midrib, smooth, lower surface appressed-puberulous to strigollose on the veins, secondary veins 8-12 pairs, the basal pair slightly or not distinct from other lateral veins, tertiary venation scalariform, waxy glands lacking. Figs in pairs, peduncles 0.5-1.0 cm long, basal bracts 3, c 2.5 mm long, sparsely appressed-puberulous or ciliolate, receptacles ellipsoid to subglobose, 0.6-1.2 cm in diameter when dry, sparsely to densely puberulous. Male flowers with 4 tepals, stamen 1, filaments adnate. Gall flowers: greenish at maturity and irregularly longitudinally dehiscent, ovary smooth, globose, styles lateral, stigmas tubular. Female flowers with 4 or 5 tepals, styles subterminal, stigmas cylindrical. Fruit an achene, oblong, oblique, rugose.","August-April","Forests and areas of secondary growth.","Bandarban, Chittagong, Khagrachari, Sylhet and Tan","Good source of firewood."
"592","608","King","Urostigma rhododendrifolium Miq., Ficus rhododendr","Narrow Leaf Fig, Long Leaf Fig","A medium-sized tree, up to 25 m tall, hemi-epiphytic or terrestrial, bark greyish, smooth, branchlets dark brown, ribbed and densely tuberculate, sparsely pilose but rapidly glabrescent. Twigs angular to subterete, glabrous or hairy on the upper scars of the stipules. Leaves spirally arranged, stipulate, stipules 0.5-1.0 cm long, lanceolate, subsericeous, caducous, petiolate, petioles 0.5-2.0 cm long, glabrous, leaf blade oblong to ovate-elliptic, 8-18 Ã— 4-7 cm, coriaceous, acuminate to subcaudate at the apex, cuneate to rounded at the base, margin entire, both surfaces glabrous but occasionally pubescent when young, lateral veins 8-14 pairs, the basal pair unbranched, tertiary vein parallel to the lateral veins, slightly prominent beneath, waxy glands at the base of midrib. Figs axillary on leafy branchlets, paired, purplish-red at maturity, sessile, basal bracts 3, 1-3 mm long, appressed-puberulous or glabrous, persistent, involucral bracts 2 or 3, ovate, unequal in size, receptacles subglobose, up to 1 cm in diameter when dry, subglabrous, yellow to red at maturity. Male, gall and female flowers within the same fig. Male flowers: few, near apical pore. Gall flowers: similar to female flowers but pedicellate. Female flowers: sessile, calyx lobes 3, lanceolate, ovary ovoid, partly red, styles apical. Fruit an achene.","September-February","Forests, sides of streams and plains.","Chittagong","Used as firewood."
"593","609","L.f.","Ficus benjamina Thunb., Ficus nitida auct. non Thu","Chinese Banyan, Malayan Banyan, Laurel Fig","A large, evergreen, banyan tree, up to 30 m tall, with copious aerial roots on the branches, bark dark grey, branches drying brown. Twigs angular, glabrous or minutely puberulous. Leaves spirally arranged, stipulate, stipules lanceolate, 0.5-1.5 cm long, usually glabrous, caducous, petiolate, petioles 0.5-1.5 cm long, blackish to brownish, glabrous, leaf blade oblong to elliptic, subobovate or suborbicular, 2-10 Ã— 1-5 cm, coriaceous, apex shortly acuminate to subacute or obtuse, base cuneate to obtuse or rounded, margin entire or revolute towards the base, adaxially dark green and shiny but dark brown when dry, glabrous, lateral veins 4-10 pairs, the basal pair distinct, unbranched, straight, tertiary venation parallel to the lateral veins. Figs axillary on leafy branchlets or on leafless older branchlets, paired, yellow to slightly red at maturity, sessile or shortly pedunculate, basal bracts 3, 2-3 mm long, glabrous, persistent or caducous, receptacles subglobose to globose, 0.5-0.9 cm in diameter when dry, glabrous, pink to dark purple when mature. Male, gall and female flowers within the same fig. Male flowers: scattered, sessile or shortly pedicellate, filaments as long as anthers,  anthers exserted. Gall flowers: shortly pedicellate, pedicels up to 1.2 mm long, calyx lobes 3, broadly ovate. Female flowers: sessile, with 3 calyx lobes, ovary red, styles lateral, stigmas short, clavate. Fruit an achene, ovoid.","September-April","Forests, sides of rivers and coastal areas.","Sylhet","The root, bark and leaves are administered for tre"
"594","610","Vahl"," Ficus tomentosa Roxb. ex Willd.","","A deciduous tree with few or no aerial roots. Twigs tomentose with whitish to pale ferruginous hairs, hairs c 1.3 mm long. Leaves spirally arranged, stipulate, stipules short, densely appressedly brown-strigose, caducous, petiolate, petioles 1-5 cm long, tomentose, often with a bare subglandular patch on the back at the junction of the midrib, leaf blade broadly elliptic to obovate-elliptic, subrotund in small leaves, 5-12 Ã— 3-7 cm, subcoriaceous, obtuse, subacute or shortly acuminate at the apex, cordate to rounded at the base, margin entire, upper surface puberulous to glabrous, smooth, lower surface densely tomentose with whitish to pale ferruginous hairs, drying light brown, secondary veins 4-6 pairs, the basal pair up to half the length of the leaf blade. Figs axillary, paired, sessile, densely tomentose, basal bracts 3, 4-5 mm long, ovate, villous. Male flowers: disperse, sessile or shortly pedicellate, pedicels up to 7 mm long, tepals 3-4, reddish. Gall flowers: sessile or shortly pedicellate, pedicels c 5 mm long, tepals 3-4, red. Female flowers: as like as male flowers. Fruit an achene.","April-November","Rocky forests.","Bandarban, Khagrachari, Rangamati and Sylhet.","Wood is used as firewood. The fruit is much eaten "
"595","611","Heyne","Ficus magnolaefolia Blume, Urostigma modestum Miq.","Veined Fig, Mountain Fig","A large evergreen tree, up to 35 m tall, branchlets wrinkled when dry. Twigs fuscous. Leaves spirally arranged, stipulate, stipules up to 1.2 cm long, appressedly silky, caducous, petiolate, petioles 0.8-2.5 cm long, leaf blade elliptic, oblong or obovate-lanceolate, 6.0-16.5 Ã— 2.5-6.0 cm, thinly coriaceous, apex narrowly subacute to acuminate, base rounded to cuneate and with 2 glands, margin entire and revolute, glabrous, abaxially dark coloured with small scattered tubercles, adaxially dark green but brown when dry, shiny, lateral veins 7-11 pairs, abaxially prominent, basal pair short, with axillary glands. Figs axillary on normal leafy stem, paired or solitary, glabrous or thinly appressedly hairy at first, red at maturity, base attenuate into an apparent stalk, sessile or shortly pedunculate, peduncles up to 3 mm long, basal bracts 3, c 1 mm long. Male, gall and female flowers within the same fig. Male flowers: dispersed, sessile or shortly pedicellate, calyx lobes 2, red, spathulate, unequal, stamen 1, anthers mucronate. Gall and female flowers: shortly pedicellate or sessile, calyx lobes 3-5, red, ovate-lanceolate, glabrous, apex acuminate, ovary sessile, yellowish-white, styles lateral, stigmas bifid, clavate, persistent. Fruit an achene.","October-April","Evergreen hill forests","Sylhet, Chittagong, Cox's Bazar and the Chittagong","Source of firewood."
"596","612","Miq.","Ficus pomifera Wall., Ficus hamiltoniana Wall., Fi","","A medium-sized tree, bark greyish-white, smooth, branchlets sparsely pubescent. Leaves alternate, stipulate, stipules 1.0-1.5 cm long, ovate-lanceolate, caducous, glabrous or puberulent, petiolate, petioles 4-6 cm long, leaf blade obovate-elliptic to elliptic, 12-25 Ã— 6-23 cm, chartaceous, apex acute to acuminate, base shallowly cordate to broadly cuneate, 3-5 nerved, margin irregularly toothed, abaxially densely tuberculate, adaxially glabrous, veins with sparse slender white hairs when young, lateral veins 4-5 pairs, abaxially prominent, basal pair extending to middle of blade or beyond. Figs clustered on short branchlets of old stem, dark red at maturity, with 4-6 longitudinal ridges and small tubercles, puberulent, basally attenuated into a short stalk, peduncles 2.5-3.5 cm long, basal bracts ovate and rosulate, involucral bracts triangular-ovate. Male flowers: shortly pedicellate, calyx lobes 3, thinly membranous, stamens 2. Gall flowers: many, on middle or lower part of fig, pedicellate, calyx lobes 3, connate, thinly membranous, ovary ovoid, smooth, styles lateral, short. Female flowers with short pedicels, calyx 3-lobed, styles lateral, longer than in gall flowers, stigmas with hairs. Fruit an achene, obovoid, papillose, smooth.","September-February","Valleys, sides of streams and moist areas.","Chittagong","Fruits are edible and sweet."
"597","613","(Wall. ex Miq.) Miq.","Covellia prostrata Wall. ex Miq.","","A small glabrous, deciduous tree, bark greyish-brown, with vertical lines of small warts, otherwise smooth. Leaves alternate, stipulate, stipules c 2 cm long, lanceolate or subulate, membranous, petiolate, petioles 1.5-3.0 cm long, leaf blade obovate-lanceolate to oblong-lanceolate, asymmetric, 8-18 Ã— 3-6 cm, thinly papery, smooth, acuminate at the apex, cuneate to slightly obtuse at the base, margin entire, membranous, shining and glabrous but pubescent along the veins beneath, secondary veins 8-12 pairs, slender but raised and prominent beneath, basal lateral veins very short. Figs on pendulous, eventually prostrate, leafless branchlets, solitary or in pairs, tuberculate, with scale-like hairs, peduncles 8-10 mm long, basal bracts 3, involucral bracts ovate, apex irregularly acuminate, lateral bracts present, receptacles subpyriform. Male flowers with 3 or 4 calyx lobes, lobes linear, stamens 1 or 2, pistillode broadly ovoid to rhombic. Female flowers with 3-4 calyx lobes, lobes linear, styles lateral, persistent, stigmas linear. Fruit an achene, obliquely ovoid, minutely tubercled.","December-February","Dense evergreen forests.","Source of firewood.","Source of firewood."
"598","614","L.","Ficus glomerata Roxb., Ficus goolerea Roxb., Covel","Cluster Fig, Indian Fig, Redwood Fig","A small to medium-sized tree, up to 20 m tall, evergreen, occasionally semi-deciduous. Leaves simple, alternate, petiolate, petioles 2-6 cm long, grooved and minutely hairy, lamina ovate-lanceolate to elliptic-lanceolate, 6-18 Ã— 3-10 cm, glabrous, base obtuse to cuneate, margin entire, apex acute, obtuse to acuminate. Hypanthodia pedunculate, borne in clusters on the hanging leafless branches from the trunk, subpyriform-globose, 1.5-2.5 cm long, apical orifice closed by 5-6 bracts. Male flowers: sessile to subsessile, ostiolar in 2-3 whorls, sepals 3, connate, red, stamens usually 2, pistillode present. Female flowers: sessile or subsessile, sepals 3, connate, ovary substipitate, styles lateral, simple and long. Gall flowers: pedicellate, intermingling the female flowers. Figs depressed-subglobose or pyriform, 2.5-4.0 cm in diameter, rose-red.","March-November","Along water courses throughout plains and hills.","Throughout the country.","Bark is used in asthma, piles and menorrhagia. Mat"
"599","615","L.","Urostigma religiosum (L.) Gasp.","Peepal Tree, The Pipal, Bo-tree","A large or medium-sized deciduous tree, up to 20 m tall. Trunk with spreading branches, usually without prop roots. Leaves simple, alternate, very long petioled, petioles up to 11 cm long, terete, leaf blade ovate, 5-18 Ã— 4-15 cm, entire, apex abruptly long acuminate, acumen nearly half as long as the blade, defoliate at the end of the winter, young leaves copper-red to pink. Inflorescence a hypanthodium, subsessile, in axillary pairs, 5-6 mm in diameter, yellowish-green when young, apical orifice is closed by 3 apical bracts. Male flowers: sessile, ostiolar, sepals 2-3, free, ovate-lanceolate. Female flowers: sessile or pedicellate, sepals 3-4, free, lanceolate. Figs depressed-globose, 10-13 mm in diameter, dark purple when ripe.","March-October","Shrubberies, old walls, and also planted along roa","Throughout the country.","Stem bark extract is used in diarrhoea, dysentery,"
"600","616","Blume","Ficus cordifolia Roxb., Urostigma cordifolium (Rox","Weeping Fig","A moderate-sized deciduous tree, up to 15 m tall, branches and young twigs glabrous, crown irregular shaped. Leaves simple, alternate, petiolate, petioles 4-10 cm long, lamina broadly ovate, 10-15 Ã— 6-10 cm, base truncate or subcordate, margin entire, apex prolonged acute, glabrous on both surfaces. Hypanthodia sessile, in axillary pairs and around old fallen leaf scars, green, globose, obovoid, 8-10 mm in diameter, apical orifice closed by 3 bracts. Male flowers: ostiolar, few, sepals 3, spathulate, stamen solitary, filaments long. Female flowers: sepals 3, lanceolate, ovary obovoid with subterminal styles. Figs black when full ripe, globose to obovoid, smooth.","March-November","Riverbanks and shrubberies, also planted along roa","Throughout the country.","Fruits are edible. The young twigs are used as fod"
